Testlauf-ID,Programmieraufgabe,Prompting-Technik,Ausführungszeit
output_5_0S.py,5_utf8_to_ascii,Zero Shot,0.020804643630981445
output_14_RP.py,5_utf8_to_ascii,Role-Play,0.020517349243164062
output_4_0S.py,5_utf8_to_ascii,Zero Shot,0.021336078643798828
output_3_0S.py,5_utf8_to_ascii,Zero Shot,0.021571636199951172
output_11_RP.py,5_utf8_to_ascii,Role-Play,0.021785497665405273
output_12_RP.py,5_utf8_to_ascii,Role-Play,0.021042585372924805
output_10_CoT.py,5_utf8_to_ascii,Chain-of-Thoughts,0.022001266479492188
output_1_0S.py,5_utf8_to_ascii,Zero Shot,0.020580530166625977
output_13_RP.py,5_utf8_to_ascii,Role-Play,0.021471023559570312
output_7_CoT.py,5_utf8_to_ascii,Chain-of-Thoughts,0.020543813705444336
output_15_RP.py,5_utf8_to_ascii,Role-Play,0.020602703094482422
output_8_CoT.py,5_utf8_to_ascii,Chain-of-Thoughts,0.020577430725097656
output_2_0S.py,5_utf8_to_ascii,Zero Shot,0.02118229866027832
output_9_CoT.py,5_utf8_to_ascii,Chain-of-Thoughts,0.02122354507446289
output_6_CoT.py,5_utf8_to_ascii,Chain-of-Thoughts,0.02155590057373047
output_5_0S.py,11_mean_squarred_error,Zero Shot,0.22929620742797852
output_14_RP.py,11_mean_squarred_error,Role-Play,0.28503942489624023
output_4_0S.py,11_mean_squarred_error,Zero Shot,0.2816481590270996
output_3_0S.py,11_mean_squarred_error,Zero Shot,0.21541810035705566
output_11_RP.py,11_mean_squarred_error,Role-Play,0.17199444770812988
output_12_RP.py,11_mean_squarred_error,Role-Play,0.13998818397521973
output_10_CoT.py,11_mean_squarred_error,Chain-of-Thoughts,0.14762449264526367
output_1_0S.py,11_mean_squarred_error,Zero Shot,0.14281058311462402
output_13_RP.py,11_mean_squarred_error,Role-Play,0.1444249153137207
output_7_CoT.py,11_mean_squarred_error,Chain-of-Thoughts,0.14365911483764648
output_15_RP.py,11_mean_squarred_error,Role-Play,0.14012742042541504
output_8_CoT.py,11_mean_squarred_error,Chain-of-Thoughts,0.1406874656677246
output_2_0S.py,11_mean_squarred_error,Zero Shot,0.14088749885559082
output_9_CoT.py,11_mean_squarred_error,Chain-of-Thoughts,0.15904784202575684
output_6_CoT.py,11_mean_squarred_error,Chain-of-Thoughts,0.1495070457458496
output_5_0S.py,9_txt_to_excel,Zero Shot,0.2666780948638916
output_14_RP.py,9_txt_to_excel,Role-Play,0.2499537467956543
