Testlauf-ID;Datum/Zeit;Prompting-Technik;Programmieraufgabe;Länge des Codes;Kommentare im Code;Anzahl der importierten Bibliotheken;Bestandene Testfälle;Nicht bestandene Testfälle;Ausführungszeit;Unerwünschte Testfälle vorhanden;Unerwünschte Beispiele vorhanden;Besondere Beobachtungen
output_5_0S.py;20.06.2024 15:29;Zero Shot;5_utf8_to_ascii;13;4;0;3;5;1,64E+16;;;
output_14_RP.py;20.06.2024 15:29;Role-Play;5_utf8_to_ascii;10;2;0;3;5;1,47E+16;;;
output_4_0S.py;20.06.2024 15:29;Zero Shot;5_utf8_to_ascii;9;1;0;3;5;2,05E+14;;;
output_3_0S.py;20.06.2024 15:29;Zero Shot;5_utf8_to_ascii;9;0;0;3;5;1,53E+16;;;
output_11_RP.py;20.06.2024 15:29;Role-Play;5_utf8_to_ascii;8;0;0;3;5;1,49E+16;;;
output_12_RP.py;20.06.2024 15:29;Role-Play;5_utf8_to_ascii;9;0;0;3;5;1,50E+16;;;
output_10_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;5_utf8_to_ascii;13;3;0;3;5;1,52E+16;;;
output_1_0S.py;20.06.2024 15:29;Zero Shot;5_utf8_to_ascii;10;1;0;3;5;1,51E+16;;;
output_13_RP.py;20.06.2024 15:29;Role-Play;5_utf8_to_ascii;11;3;0;3;5;1,52E+15;;;
output_7_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;5_utf8_to_ascii;9;1;0;3;5;1,51E+16;;;
output_15_RP.py;20.06.2024 15:29;Role-Play;5_utf8_to_ascii;9;0;0;3;5;1,50E+16;;;
output_8_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;5_utf8_to_ascii;8;0;0;3;5;1,51E+15;;;
output_2_0S.py;20.06.2024 15:29;Zero Shot;5_utf8_to_ascii;9;1;0;3;5;1,45E+16;;;
output_9_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;5_utf8_to_ascii;10;2;0;3;5;1,48E+16;;;
output_6_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;5_utf8_to_ascii;10;2;0;3;5;1,51E+16;;;
output_5_0S.py;20.06.2024 15:29;Zero Shot;11_mean_squarred_error;4;0;1;8;0;1,55E+15;;;
output_14_RP.py;20.06.2024 15:29;Role-Play;11_mean_squarred_error;4;0;1;8;0;1,60E+16;;;
output_4_0S.py;20.06.2024 15:29;Zero Shot;11_mean_squarred_error;4;0;1;8;0;1,41E+16;;;
output_3_0S.py;20.06.2024 15:29;Zero Shot;11_mean_squarred_error;4;0;1;8;0;1,49E+16;;;
output_11_RP.py;20.06.2024 15:29;Role-Play;11_mean_squarred_error;4;0;1;8;0;1,41E+16;;;
output_12_RP.py;20.06.2024 15:29;Role-Play;11_mean_squarred_error;4;0;1;8;0;1,47E+16;;;
output_10_CoT.py;20.06.2024 15:29;Chain-of-Thoughts;11_mean_squarred_error;4;0;1;8;0;1,42E+16;;;
